codigo_postal,nombre_del_lugar_del_código_postal,comunidad_autónoma,provincia
28001,Madrid,Comunidad de Madrid,Comunidad de Madrid
28002,Madrid,Comunidad de Madrid,Comunidad de Madrid
28003,Madrid,Comunidad de Madrid,Comunidad de Madrid
28004,Madrid,Comunidad de Madrid,Comunidad de Madrid
28005,Madrid,Comunidad de Madrid,Comunidad de Madrid
28006,Madrid,Comunidad de Madrid,Comunidad de Madrid
28007,Madrid,Comunidad de Madrid,Comunidad de Madrid
28008,Madrid,Comunidad de Madrid,Comunidad de Madrid
28009,Madrid,Comunidad de Madrid,Comunidad de Madrid
28010,Madrid,Comunidad de Madrid,Comunidad de Madrid
28011,Madrid,Comunidad de Madrid,Comunidad de Madrid
28012,Madrid,Comunidad de Madrid,Comunidad de Madrid
28013,Madrid,Comunidad de Madrid,Comunidad de Madrid
28014,Madrid,Comunidad de Madrid,Comunidad de Madrid
28015,Madrid,Comunidad de Madrid,Comunidad de Madrid
28016,Madrid,Comunidad de Madrid,Comunidad de Madrid
28017,Madrid,Comunidad de Madrid,Comunidad de Madrid
28018,Madrid,Comunidad de Madrid,Comunidad de Madrid
28019,Madrid,Comunidad de Madrid,Comunidad de Madrid
28020,Madrid,Comunidad de Madrid,Comunidad de Madrid
28021,Madrid,Comunidad de Madrid,Comunidad de Madrid
28022,Madrid,Comunidad de Madrid,Comunidad de Madrid
28023,Madrid,Comunidad de Madrid,Comunidad de Madrid
28024,Madrid,Comunidad de Madrid,Comunidad de Madrid
28025,Madrid,Comunidad de Madrid,Comunidad de Madrid
28026,Madrid,Comunidad de Madrid,Comunidad de Madrid
28027,Madrid,Comunidad de Madrid,Comunidad de Madrid
28028,Madrid,Comunidad de Madrid,Comunidad de Madrid
28029,Madrid,Comunidad de Madrid,Comunidad de Madrid
28030,Madrid,Comunidad de Madrid,Comunidad de Madrid
28031,Madrid,Comunidad de Madrid,Comunidad de Madrid
28032,Madrid,Comunidad de Madrid,Comunidad de Madrid
28033,Madrid,Comunidad de Madrid,Comunidad de Madrid
