codigo_postal,nombre_municipio,total,hombres,mujeres
28001," Acebeda, La",62,32,30
28002, Ajalvir,4751,2473,2278
28003, Alameda del Valle,241,137,104
28004," Álamo, El",10123,4972,5151
28005, Alcalá de Henares,196888,95472,101416
28006, Alcobendas,117041,55907,61134
28007, Alcorcón,170296,81673,88623
28008, Aldea del Fresno,3227,1653,1574
28009, Algete,20767,10181,10586
28010, Alpedrete,15006,7380,7626
28011, Ambite,648,324,324
28012, Anchuelo,1354,702,652
28013, Aranjuez,59762,29046,30716
28014, Arganda del Rey,57553,28729,28824
28015, Arroyomolinos,34833,17313,17520
28016," Atazar, El",107,60,47
28017, Batres,1823,941,882
28018, Becerril de la Sierra,6197,3085,3112
28019, Belmonte de Tajo,1769,910,859
28020, Berzosa del Lozoya,227,129,98
28021," Berrueco, El",801,406,395
28022, Boadilla del Monte,62627,30630,31997
28023," Boalo, El",8216,4100,4116
28024, Braojos,218,132,86
28025, Brea de Tajo,541,307,234
28026, Brunete,10845,5335,5510
28027, Buitrago del Lozoya,1948,931,1017
28028, Bustarviejo,2706,1350,1356
28029, Cabanillas de la Sierra,874,453,421
28030," Cabrera, La",2805,1383,1422
28031, Cadalso de los Vidrios,3193,1664,1529
28032, Camarma de Esteruelas,7595,3837,3758
28033, Campo Real,6651,3365,3286
28034, Canencia,455,242,213
28035, Carabaña,2210,1105,1105
28036, Casarrubuelos,3961,2032,1929
28037, Cenicientos,2089,1045,1044
28038, Cercedilla,7533,3740,3793
28039, Cervera de Buitrago,169,100,69
28040, Ciempozuelos,25383,12799,12584
28041, Cobeña,7551,3697,3854
28042, Colmenar del Arroyo,1936,1020,916
28043, Colmenar de Oreja,8462,4295,4167
28044, Colmenarejo,9473,4652,4821
28045, Colmenar Viejo,53389,26267,27122
28046, Collado Mediano,7456,3702,3754
28047, Collado Villalba,64263,31170,33093
28048, Corpa,764,384,380
28049, Coslada,80596,39281,41315
28050, Cubas de la Sagra,6698,3352,3346
28051, Chapinería,2512,1266,1246
28052, Chinchón,5658,2838,2820
28053, Daganzo de Arriba,10650,5310,5340
28054," Escorial, El",16618,8200,8418
28055, Estremera,1410,720,690
28056, Fresnedillas de la Oliva,1784,898,886
28057, Fresno de Torote,2444,1294,1150
28058, Fuenlabrada,189891,93170,96721
28059, Fuente el Saz de Jarama,7034,3530,3504
28060, Fuentidueña de Tajo,2250,1139,1111
28061, Galapagar,34834,16914,17920
28062, Garganta de los Montes,395,214,181
28063, Gargantilla del Lozoya y Pinilla de Buitrago,361,206,155
28064, Gascones,212,114,98
28065, Getafe,183219,89393,93826
28066, Griñón,10491,5189,5302
28067, Guadalix de la Sierra,6672,3355,3317
28068, Guadarrama,16921,8343,8578
28069," Hiruela, La",75,50,25
28070, Horcajo de la Sierra-Aoslos,201,107,94
28071, Horcajuelo de la Sierra,110,58,52
28072, Hoyo de Manzanares,8811,4443,4368
28073, Humanes de Madrid,19838,9869,9969
28074, Leganés,186660,90038,96622
28075, Loeches,8944,4496,4448
28076, Lozoya,602,322,280
28078, Madarcos,63,32,31
28079, Madrid,3280782,1531214,1749568
28080, Majadahonda,72179,34148,38031
28082, Manzanares el Real,9247,4667,4580
28083, Meco,15143,7635,7508
28084, Mejorada del Campo,23897,11830,12067
28085, Miraflores de la Sierra,6711,3440,3271
28086," Molar, El",9437,4774,4663
28087," Molinos, Los",4699,2323,2376
28088, Montejo de la Sierra,372,183,189
28089, Moraleja de Enmedio,5368,2701,2667
28090, Moralzarzal,13905,6937,6968
28091, Morata de Tajuña,7960,4009,3951
28092, Móstoles,208761,101318,107443
28093, Navacerrada,3218,1594,1624
28094, Navalafuente,1574,810,764
28095, Navalagamella,2809,1442,1367
28096, Navalcarnero,31379,15585,15794
28097, Navarredonda y San Mamés,138,85,53
