numero_registro,denominacion,plazas_autorizadas_numero,plazas_descripcion,tipologia,subtipo,sector,municipio_nombre,direccion_via_tipo,direccion_coor_x,direccion_coor_y,codigo_postal,entidad_denominacion,entidad_naturaleza
C0003,CENTRO DE REHABILITACION LABORAL NUEVA VIDA,40,Capacidad máxima simultánea,CENTROS DE REHABILITACIÓN,CENTROS DE REHABILITACIÓN: OTROS,Personas con enfermedad mental crónica,Madrid,CALLE,443535,4475980,28028,ASOCIACION PSIQUIATRIA Y VIDA,PRIVADA SIN ÁNIMO DE LUCRO
C0005,"NTRA. SRA. DE FATIMA, RESIDENCIA DE PERSONAS MAYORES",96,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Galapagar,CALLE,414969,4491768,28260,"RESIDENCIA FATIMA, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C0007,"SAN CAMILO, RESIDENCIA DE PERSONAS MAYORES",144,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Tres Cantos,SECT,439492,4496185,28760,RR. CAMILOS-RESIDENCIA ASISTIDA SAN CAMILO,PRIVADA SIN ÁNIMO DE LUCRO
C0010,"NUEVA EDAD, CENTRO DE DIA",60,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Personas mayores,Madrid,CALLE,444628,4476573,28027,ASOCIACION SERVICIO INTEGRAL SECTORIAL PARA ANCIANOS (ASISPA),PRIVADA SIN ÁNIMO DE LUCRO
C0018,"MADRE MARAVILLAS, RESIDENCIA DE PERSONAS MAYORES",54,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Getafe,PLAZA,444151,4463737,28909,"CENTRO GERIATRICO MADRE MARAVILLAS, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C0020,MARIA INMACULADA COMEDOR BENEFICO,152,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Personas sin hogar,Madrid,PASEO,440861,4476047,28010,CASA COMUNIDAD HIJAS DE LA CARIDAD SAN VICENTE DE PAUL,PRIVADA SIN ÁNIMO DE LUCRO
C0026,EL ENCUENTRO,40,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,CALLE,444129,4475489,28017,ASOCIACION CLUB EL ENCUENTRO DE TERCERA EDAD,PRIVADA SIN ÁNIMO DE LUCRO
C0034,"PREVENCION Y REHABILITACION APRAMP, CENTRO DE DIA",20,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Mujer,Madrid,PLAZA,440286,4473775,28012,"ASOCIACION PARA ATENCION, PREVENCION Y REINSERCION DE LA MUJER PROSTITUIDA (APRAMP)",PRIVADA SIN ÁNIMO DE LUCRO
C0043,COMEDOR SAN FRANCISCO,32,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Personas sin hogar,Madrid,CALLE,439096,4477173,28003,PARROQUIA DE SAN BRUNO,PRIVADA SIN ÁNIMO DE LUCRO
C0044,"EL CONCEJO, RESIDENCIA DE PERSONAS MAYORES",53,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Bustarviejo,CALLE,440108,4523109,28720,ASOCIACION DE AMIGOS DE LA TERCERA EDAD EL CONCEJO DE BUSTARVIEJO,PRIVADA SIN ÁNIMO DE LUCRO
C0046,"HOGAR INFANTIL LUIS AMIGO, PISO TUTELADO",6,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Infancia y Adolescencia,Madrid,CALLE,437882,4471833,28019,HERMANAS TERCIARIAS CAPUCHINAS-PROVINCIA DE NAZARET,PRIVADA SIN ÁNIMO DE LUCRO
C0047,"HOGAR JOSE DE PASAMONTE, PISO TUTELADO",9,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Infancia y Adolescencia,Madrid,CALLE,444970,4473383,28030,ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO,PRIVADA SIN ÁNIMO DE LUCRO
